[info] Loading project definition from C:\Work\singapore\traces\project
[info] Set current project to traces (in build file:/C:/Work/singapore/traces/)
[info] Running FindMeetings 
Input variables:
	source file: reduced.csv
	distance threshold: 1.0 meters
	duration threshold: 300 seconds
	time epsilon: 7 seconds
	only first: false
	full graph: true
	uid A: 
	uid B: 

Found 16 uids in the source
26fc890b, 95f1b6bd: 39 meetings, time = 1,350,411,194ns
26fc890b, f8c4ee12: 0 meetings, time = 1,482,487,259ns
26fc890b, 27cb9c6f: 42 meetings, time = 1,346,737,552ns
26fc890b, 1bd4e1e0: 0 meetings, time = 1,359,588,963ns
74d917a1, 8395c4df: 0 meetings, time = 1,295,512,421ns
74d917a1, 042e36bd: 1 meetings, time = 1,291,489,827ns
74d917a1, d6f0300c: 0 meetings, time = 1,274,888,100ns
74d917a1, 95f1b6bd: 0 meetings, time = 1,287,452,744ns
74d917a1, f8c4ee12: 0 meetings, time = 1,430,837,711ns
74d917a1, 27cb9c6f: 0 meetings, time = 1,290,645,825ns
74d917a1, 1bd4e1e0: 0 meetings, time = 1,313,316,759ns
8395c4df, 042e36bd: 1 meetings, time = 1,294,432,967ns
8395c4df, d6f0300c: 1 meetings, time = 1,278,366,138ns
8395c4df, 95f1b6bd: 2 meetings, time = 1,295,738,816ns
8395c4df, f8c4ee12: 0 meetings, time = 1,439,585,026ns
8395c4df, 27cb9c6f: 4 meetings, time = 1,309,288,732ns
8395c4df, 1bd4e1e0: 0 meetings, time = 1,321,957,819ns
042e36bd, d6f0300c: 0 meetings, time = 1,289,804,841ns
042e36bd, 95f1b6bd: 9 meetings, time = 1,290,857,731ns
042e36bd, f8c4ee12: 0 meetings, time = 1,425,146,433ns
042e36bd, 27cb9c6f: 4 meetings, time = 1,300,941,684ns
042e36bd, 1bd4e1e0: 0 meetings, time = 1,313,988,097ns
d6f0300c, 95f1b6bd: 0 meetings, time = 1,284,329,694ns
d6f0300c, f8c4ee12: 0 meetings, time = 1,418,540,516ns
d6f0300c, 27cb9c6f: 0 meetings, time = 1,288,817,153ns
d6f0300c, 1bd4e1e0: 0 meetings, time = 1,305,105,549ns
95f1b6bd, f8c4ee12: 0 meetings, time = 1,435,737,512ns
95f1b6bd, 27cb9c6f: 19 meetings, time = 1,300,140,546ns
95f1b6bd, 1bd4e1e0: 0 meetings, time = 1,339,447,619ns
f8c4ee12, 27cb9c6f: 0 meetings, time = 1,455,162,842ns
f8c4ee12, 1bd4e1e0: 41 meetings, time = 1,480,710,507ns
27cb9c6f, 1bd4e1e0: 0 meetings, time = 1,323,111,530ns
[success] Total time: 165 s, completed 09.08.2017 2:15:39
